"file_name","target","dataset_type"
"rec1-74.wav","1234","train"
"rec1-04.wav","2345","train"
"rec1-82.wav","3456","train"
"rec1-17.wav","4567","train"
"rec1-12.wav","5678","train"
"rec1-49.wav","6789","train"
"rec1-83.wav","7890","train"
"rec1-08.wav","2356","train"
"rec1-61.wav","3454","train"
"rec1-64.wav","8716","train"
"rec1-10.wav","2398","train"
"rec1-44.wav","3764","train"
"rec1-72.wav","1098","train"
"rec1-58.wav","2763","train"
"rec1-80.wav","1234","train"
"rec1-36.wav","0908","train"
"rec1-81.wav","1767","train"
"rec1-30.wav","2734","train"
"rec1-56.wav","2565","train"
"rec1-66.wav","1234","train"
"rec1-20.wav","2345","train"
"rec1-42.wav","4567","train"
"rec1-73.wav","6789","train"
"rec1-54.wav","7812","train"
"rec1-88.wav","5676","train"
"rec1-47.wav","8767","train"
"rec1-70.wav","0987","train"
"rec1-48.wav","1425","train"
"rec1-89.wav","3647","train"
"rec1-39.wav","8675","train"
"rec1-71.wav","9181","train"
"rec1-15.wav","1726","train"
"rec1-26.wav","9189","train"
"rec1-55.wav","1313","train"
"rec1-34.wav","2424","train"
"rec1-29.wav","3535","train"
"rec1-35.wav","6768","train"
"rec1-68.wav","7989","train"
"rec1-84.wav","1425","train"
"rec1-41.wav","6789","train"
"rec1-69.wav","6757","train"
"rec1-21.wav","1454","train"
"rec1-51.wav","2356","train"
"rec1-28.wav","3456","train"
"rec1-16.wav","0987","train"
"rec1-67.wav","6757","train"
"rec1-65.wav","1425","train"
"rec1-43.wav","0987","train"
"rec1-87.wav","5647","train"
"rec1-46.wav","6767","train"
"rec1-33.wav","1234","train"
"rec1-59.wav","2345","train"
"rec1-06.wav","3456","train"
"rec1-23.wav","4567","train"
"rec1-25.wav","5678","train"
"rec1-11.wav","6789","train"
"rec1-02.wav","0987","train"
"rec1-50.wav","1676","train"
"rec1-01.wav","1313","train"
"rec1-32.wav","2454","train"
"rec1-77.wav","1676","train"
"rec1-76.wav","1232","train"
"rec1-19.wav","8787","train"
"rec1-37.wav","9898","train"
"rec1-38.wav","6767","train"
"rec1-63.wav","5765","train"
"rec1-75.wav","7564","train"
"rec1-09.wav","2435","train"
"rec1-27.wav","1976","train"
"rec1-85.wav","2565","train"
"rec1-18.wav","3746","train"
"rec1-07.wav","3546","train"
"rec1-13.wav","1987","train"
"rec1-03.wav","2653","train"
"rec1-79.wav","2456","train"
"rec1-62.wav","1876","train"
"rec1-86.wav","2525","train"
"rec1-31.wav","3545","train"
"rec1-22.wav","1098","train"
"rec1-45.wav","8272","train"
"rec1-53.wav","6565","train"
"rec1-24.wav","4554","train"
"rec1-52.wav","6776","train"
"rec1-05.wav","1428","train"
"rec1-40.wav","3647","train"
"rec1-14.wav","9617","train"
"rec1-60.wav","4872","train"
"rec1-57.wav","3098","train"
"rec1-78.wav","1762","train"
"full2-02.wav","1234","train"
"full2-01.wav","8978","train"
"full2-07.wav","6756","train"
"full2-06.wav","9878","train"
"full2-05.wav","6756","train"
"full2-04.wav","4534","train"
"full2-03.wav","0989","train"
"full2-10.wav","1234","train"
"full2-09.wav","2345","train"
"full2-08.wav","3456","train"
"full2-13.wav","8786","train"
"full2-12.wav","6789","train"
"full2-11.wav","6578","train"
"full2-17.wav","7878","train"
"full2-16.wav","5678","train"
"full2-15.wav","1234","train"
"full2-14.wav","8909","train"
"full2-20.wav","6787","train"
"full2-19.wav","9876","train"
"full2-18.wav","2435","train"
"full2-24.wav","6766","train"
"full2-23.wav","1234","train"
"full2-22.wav","2345","train"
"full2-21.wav","4567","train"
"full2-28.wav","8765","train"
"full2-27.wav","9876","train"
"full2-26.wav","2435","train"
"full2-25.wav","4567","train"
"full2-31.wav","2345","train"
"full2-30.wav","4567","train"
"full2-29.wav","6789","train"
"full2-36.wav","7890","train"
"full2-35.wav","5678","train"
"full2-34.wav","6545","train"
"full2-33.wav","6789","train"
"full2-32.wav","7890","train"
"full2-40.wav","1234","train"
"full2-39.wav","5678","train"
"full2-38.wav","6787","train"
"full2-37.wav","4565","train"
"full2-45.wav","7677","train"
"full2-44.wav","9876","train"
"full2-43.wav","5678","train"
"full2-42.wav","4565","train"
"full2-41.wav","2345","train"
"full2-49.wav","6787","train"
"full2-48.wav","5434","train"
"full2-47.wav","6545","train"
